,Abstract,questions,AMES
10,"Kaohsiung is a city of 1.5 million located in the southern part of Taiwan. It has a serious air pollution problem mainly attributable to much industrial and commercial activity. In order to estimate the effects of traffic, season, and meteorological conditions on the mutagenicity of Kaohsiung City's urban ambient particulate matter, 624 airborne particulate samples were collected on a weekly basis from 12 locations for an entire year. The mutagenic potential of acetone extracts of air samples was evaluated by the Salmonella/microsomal test with S. typhimurium TA98 in the presence and absence of S9 mixtures. The air samples from November 1990 showed the highest direct and indirect mutagenicity among the 12 months, whereas those from June and July 1991 had the lowest direct and indirect mutagenic activity, respectively. The mutagenicity showed a good correlation with amounts of the acetone extractable matter of airborne particulates. The meteorological conditions, monthly mean precipitation, and wind speed also showed a good correspondence with mutagenicity. Wind direction and temperature had a moderate relationship. The major mutagenic fractions of air samples that had the highest mutagenic activity in a month were purified using Sephadex LH-20 column chromatography, and the contents of PAHs, 1-NP, and DNPs were analyzed by HPLC. The characteristic concentration ratios of PAHs indicated that, for the main pollution sources of airborne particulates from Kaohsiung city, the mobile sources were more important than the stationary ones. The total amounts of 1-NP and DNPs in airborne particulates seemed to correspond to their mutagenicity. Although the total amounts of 1-NP and DNPs in the air samples correlated with their mutagenicity, the major mutagenic chemicals in the airborne particulate samples from Kaohsiung City need further investigation.",Is 1-NP mutagenic for TA98 strain?,True
11,"To learn the reasons for the high incidence of biliary carcinoma in patients with anomalous arrangement of the pancreaticobiliary duct (APBD) mutagenicity of the bile of APBD-modeled dogs that had received a dorsal pancreatico-cholecystostomy was assayed by the Ames Salmonella mutation test. The bile from two out of 18 APBD dogs was mutagenic for Salmonella typhimurium strain TA98 under the condition of metabolic activation by rat liver S9 fraction, while the bile from 17 normal dogs was not mutagenic. Furthermore, the bile from five APBD dogs i.p. administered 1-nitropyrene (1-NP), which is a typical environmental mutagen, was more mutagenic for strain TA98 than that from 1-NP-treated normal dogs. The bile from the APBD dogs had very high amylase activity, indicating that the bile contained pancreatic juice as a result of the pancreatico-cholecystostomy. When pancreatic juice from a normal dog was added to the bile from 1-NP-treated normal dogs, mutagenicity of the bile increased 1.6- to 2.0-fold. Furthermore, sulfatase increased the mutagenic activity of the bile in the presence of the pancreatic juice. HPLC revealed that the bile from a 1-NP-treated APBD dog contained mutagenic 1-nitro-6/8-hydroxypyrene and 1-nitro-3-hydroxypyrene, while bile from a 1-NP-treated normal dog did not contain these deconjugated products. The pancreatic juice from a normal dog had very high gamma-glutamyltransferase (GGT) and aminopeptidase activities and low sulfatase activity, but it had no beta-glucuronidase activity. In addition, the bacteria that easily infect the biliary duct of APBD dogs, Escherichia coli, Klebsiella, Enterobacter and Proteus, had high beta-glucuronidase activity. In particular, Klebsiella showed a very high sulfatase activity. These results suggest that pancreatic juice enzymes and bacteria infecting the biliary duct deconjugate the detoxified mutagens in the bile and induce mutagenicity of the bile from APBD dogs or APBD patients.",Is 1-NP mutagenic for TA98 strain?,True
12,"N-Acetylcysteine (NAC) has been reported to decrease genotoxicity induced by several mutagens. In this paper, the desmutagenic effect of NAC on a complex mixture, such as diesel extract, has been analyzed. Studies have been carried out in vitro with the Ames test (reverse mutations on TA98, TA100, and TA104 strains) and sister chromatid exchanges assay (SCE) in human lymphocytes. NAC inhibits diesel genotoxicity in both assays. NAC also inhibits the mutagenicity of 1,8-dinitropyrene (1,8-DNP) and 1-nitropyrene (1-NP) known to be present in diesel exhaust and to be activated by cellular O-transacetylases and nitropyrene reductases. NAC inhibits also the induction of SCE in human lymphocytes by diesel extract. These results, and those obtained by the preincubation of NAC with cells, suggest that the inhibition also takes place inside the cell.",Is 1-NP mutagenic for TA98 or TA100 strain?,True
13,"1-Nitropyrene (1-NP) and 2-nitrofluorene (2-NF), two of the most abundant nitro-substituted polycyclic aromatic hydrocarbons (nitro-PAH) present in combustion products such as diesel engine exhaust, were administered intraperitoneally to rats at a dose of 5 mg per animal. Urine samples, 1-NP and 2-NF were tested in the Ames assay using the newly developed Salmonella typhimurium strains YG1012 and YG1024 (overproducing O-acetyltransferase) and their parent strains TA1538 and TA98. In urine, collected over 3 periods of 24 h after administration, most of the mutagens appeared during the first 24 h. The mutagenicity was found to be a factor 2-30 higher in the YG strains when compared to the TA strains. Addition of S9 mix and rat liver cytosol both with and without beta-glucuronidase increased the mutagenicity of urine samples from 1-NP-treated rats. Addition of beta-glucuronidase revealed that a considerable part of the mutagenic metabolites of 1-NP and 2-NF were excreted as glucuronide conjugates. The increase in mutagenicity of urine samples from 2-NF-treated rats after the addition of rat liver cytosol referred to N,O-acyl transfer as a step in activating 2-NF to strong mutagens. The high sensitivity of the YG tester strains indicated that these strains might be used to explore environments where people are exposed to nitro-PAH, such as work places with diesel emission sources.",Is 1-NP mutagenic for TA98 strain?,True
14,"To investigate the modifying role of intestinal microflora in the metabolism of chemical carcinogens in vivo, we subjected bile from Fischer rats treated per os with chemical carcinogens and related compounds to a mutagenicity assay in the presence and absence of a cell-free extract from human feces. A mixture of the bile sample and potassium phosphate buffer was incubated in the presence or absence of human cell-free fecal extract and then further incubated with a bacterial suspension of Salmonella typhimurium tester strains TA98 or TA100. Bile from rats treated with 1-nitropyrene (1-NP) produced about 2700 and 400 revertants per plate in strain TA98 in the presence and absence of the fecal extract, respectively. There was a drug dose- and bile volume-related response. Treatment of 1-NP-bile with beta-glucuronidase, but not aryl sulfatase, enhanced its mutagenicity. Cell-free extracts of some strains of intestinal bacteria (Bacteroides fragilis ATCC 12044, B. vulgatus ATCC 8482, B. thetaiotaomicron ATCC 12290, Bacteroides sp. strain 524, Eubacterium eligens VPI C15-48, Peptostreptococcus sp. strain 204 and Escherichia coli A-5-18) also enhanced the mutagenicity of 1-NP-bile. These bacterial cell-free extracts hydrolyzed the synthetic beta-D-glucuronides of phenolphthalein and/or p-nitrophenol. These data indicate that the glucuronide(s) of 1-NP-metabolite(s) secreted into bile can be hydrolyzed in the intestine by bacterial beta-glucuronidases to potent mutagenic aglycone(s).",Is 1-NP mutagenic for TA98 or TA100 strain?,True
15,"Wastewater collected from oil-water separating tanks of ten gasoline stations for a year was fractionated into diethyl ether-soluble neutral, acidic, and basic fractions. Mutagenicity of these fractions was measured with Salmonella typhimurium strains TA98 and TA100 in the presence or absence of S9 mix. The neutral fractions showed high mutagenicity in the absence of S9 mix. Each neutral fraction was subjected to high-performance liquid chromatography (HPLC) and fractionated. A 1-nitropyrene(1-NP)-corresponding fraction was collected and analyzed by gas chromatography-mass spectrometry (GC-MS) and HPLC to prove that wastewater contains 1-NP and to quantitate 1-NP in wastewater. GC-MS patterns showed the following molecular and fragment ion peaks of 1-NP: 247, 217, 201, and 189. The amount of 1-NP in 36 samples of wastewater was 4.2-25,600 ng per liter of wastewater, and 1-NP accounted for 0.3-58.5% of the total mutagenicity of the neutral fractions. The other 19 samples of wastewater did not contain any detectable 1-NP. The mutagenicity of wastewater may be due to water from car washing and contamination by used crankcase oil. A Soxhlet extract of crankcase oil used in a gasoline was fractionated into three fractions as above. Mutagenicity was measured with strains TA98, TA100, TA98NR, and TA98/1,8-DNP6 in the absence or presence of S9 mix. The neutral fraction showed the highest mutagenicity with strain TA98 in the absence of S9 mix, and its mutagenicity was decreased in strains TA98NR and TA98/1,8-DNP6. The latter result indicates that the used engine-oil contained 1-NP and dinitropyrenes. Actually, the amounts of 1-NP and 1,6-diNP in used crankcase oil were 138 and 2.0 ng per ml of oil, respectively, and these concentrations accounted for 0.45 and 2.7%, respectively, of the total mutagenicity of the neutral fraction with strain TA98 in the absence of S9 mix. Moreover, the concentrations of 1-NP and 1,6-diNP in used crankcase oil of a diesel engine were 349 and 31 ng per ml of oil, respectively, accounting for 0.9 and 12%, respectively, of the total mutagenicity of the neutral fraction in the same assay system.",Is 1-NP mutagenic for TA98 or TA100 strain?,True
16,"The mutagenic activities of 1-nitropyrene (1-NP), 2,7-dinitrofluorenone (2,7-DNF), and a diesel-exhaust extract were compared using the Salmonella typhimurium plate-incorporation assay. Each sample was tested with and without a 9000 X g liver homogenate (S9), both with and without an NADPH-generating system. The samples were also treated with the microsome fraction of S9, cytosol fraction of S9, boiled S9, bovine serum albumin (BSA), and boiled BSA. Salmonella tester strains TA98 and TA98FR1 were used in all treatments; TA98/1,8DNP6 was used to test mutagenic activity without activation. Without the NADPH-generating system, the samples generally had less mutagenic activity than samples treated with the NADPH-generating system. The addition of the NADPH-generating system resulted in marked increases in mutagenic activity of 1-NP in the microsome and S9 treatments, and of all 3 samples in the cytosol fraction treatment. These results indicate that although protein binding reduced the mutagenic activity of diesel-exhaust extract and 1-NP, microsomal activation increased the mutagenic activity of 1-NP. Because 1-NP and 2,7-DNF contributed less than 1.5% of the mutagenic activity of the diesel-exhaust extract, the response to diesel exhaust was not typified by these compounds.",Is 1-NP mutagenic for TA98 strain?,True
17,"Mutagenic nitroaromatic compounds have recently been found in photocopies, urban atmosphere, automobile exhaust and wastewater. 1-Nitropyrene (1-NP) is readily formed when pyrene, ubiquitous in the environment, is exposed to nitrogen dioxide in the urban atmosphere or in automobile exhaust, and is highly mutagenic, inducing 449 his+ revertants/plate/nmol from Salmonella typhimurium strain TA98 in the absence of S9 fraction in the Salmonella-microsome test. It is possible to swallow sputum or some food containing 1-NP and it would come into contact with the normal bacterial flora. We determined the 1-NP nitroreductase activity in environmental and laboratory bacterial strains. We found that the mutagenicity of 1-NP mixed with the feces of a healthy man or a culture of anaerobic bacteria was decreased. The product proved to be 1-aminopyrene (1-AP), based on its fluorescence spectrum, its mass spectrum, and its characteristic thin layer chromatographic and high performance liquid chromatographic patterns. The 1-NP nitroreductase activity of aerobic bacteria was low, but crude extracts from the anaerobic bacteria, i.e., Bacteroides fragilis, B. thetaiotaomicron, B. vulgatus, Fusobacterium mortiferum, F. nucleatum, Clostridium perfringens, C. sporogenes, Bifidobacterium adolescentis, B. bifidum, Eubacterium lentum, E. limosum, and Peptostreptococcus anaerobius, all easily converted 1-NP to 1-AP and proportionally decreased the mutagenic activity of 1-NP.",Is 1-NP mutagenic for TA98 strain?,False
18,"We investigated the photo-mutagenicity and photo-genotoxicity of N-dialkylnitrosamines and its mechanisms of UVA activation. With simultaneous irradiation of UVA, photo-mutagenicity of seven N-dialkylnitrosamines was observed in Ames bacteria (Salmonella typhimurium TA1535) in the absence of metabolic activation. Mutagenicity of pre-irradiated N-dialkylnitrosamines was also observed with S. typhimurium hisG46, TA100, TA102 and YG7108 in the absence of metabolic activation. UVA-mediated mutation with N-nitrosodimethylamine (NDMA) and N-nitrosodiethylamine (NDEA) decreased by adding either the NO or OH radical scavenger. When superhelical DNA was irradiated with N-dialkylnitrosamines, nicked circular DNA appeared. Ten N-dialkylnitrosamines examined produced strand breaks in the treated DNA in the presence of UVA. The level of single-strand breaks in phiX174 DNA mediated by N-nitrosomorpholine (NMOR) and UVA decreased by adding either a radical scavenger or superoxide dismutase. When calf thymus DNA was treated with N-dialkylnitrosamines (NDMA, NDEA, NMOR, N-nitrosopyrrolidine (NPYR) and N-nitrosopiperidine (NPIP)) and UVA, the ratio of 8-oxodG/dG in the DNA increased. Action spectra were obtained to determine if nitrosamine acts as a sensitizer of UVA. Both mutation frequency and NO formation were highest at the absorption maximum of nitrosamines, approximately 340 nm. The plots of NO formation and mutation frequency align with the absorption curve of NPYR, NMOR and NDMA. A significant linear correlation between the optical density of N-dialkynitrosamines at 340 nm and NO formation in each irradiated solution was revealed by ANOVA. We would like to propose the hypothesis that the N-nitroso moiety of N-dialkylnitrosamines absorbs UVA photons, UVA-photolysis of N-dialkylnitrosamines brings release of nitric oxide, and subsequent production of alkyl radical cations and active oxygen species follow as secondary events, which cause DNA strand breaks, oxidative and alkylative DNA damages and mutation.",Is NMOR mutagenic for TA100 or TA1535 or TA102 strain?,True
19,"An investigation was undertaken to determine whether analgesics and their derivatives (13 compounds), and anti-inflammatory drugs (4 compounds) had mutagenicity. Rec-assay was used to clarify specific DNA-damaging properties, and the Ames test was used to find back-mutations, using S-9 fractions obtained from the liver of 4 animal species pretreated with polychlorobiphenyl. In the Rec-assay, salicylic acid (2 mg), aspirin (5 mg), benzoic acid (4 mg), sulpyrine (0.4 mg), indomethacin (0.1 mg), oxyphenbutazone (0.1 mg) and diclofenac sodium (0.1 mg) showed a DNA-damaging tendency. In the Ames test, mutagenicity of methyl salicylate was demonstrated using the Salmonella typhimurium TA98 strain upon addition of hamster S-9 mixture. Weak mutagenicity was also found using the TA100 strain with rat S-9 mixture for salicylic acid, sulpyrine, indomethacin and oxyphenbutazone, and with hamster S-9 mixture for methyl salicylate, acetaminophen and phenacetine.",Is benzoic acid mutagenic for TA98 or TA100 strain?,True
20,"Synthetic musks are widely used as fragrances and therefore found in various environmental samples. Residues were identified in river and waste water, animal and human tissues and breast milk. In the present study, six artificial polycyclic musk fragrances-Galaxolide, Tonalide, Celestolide, Phantolide, Cashmeran and Traseolide-were tested for mutagenicity using the Salmonella/mammalian-microsome assay with Salmonella typhimurium strains TA97, TA98, TA100 and TA102 in the presence (+S-9) and absence (-S-9) of an exogenous metabolizing system. All compounds tested exhibited no mutagenicity in the Salmonella assay. These results could be rated as one indicator of the biological inactivity of this group of chemicals with respect to genotoxicity.",Is Galaxolide mutagenic for TA98 or TA100 or TA102 strain?,False
21,"The XAD-2 resin concentration/elution system for concentration of mutagens contained in urines was optimized for cancer patients who had been administered such antineoplastic agents as adriamycin (ADR; doxorubicin), cyclophosphamide (CP), methotrexate, vincristine, and 5-fluorouracil. In the reverse mutation assay, Salmonella typhimurium strains TA1535 and TA98 differentiated between CP (with S9 fraction) and ADR (without S9), respectively. No dose-response for CP was observed. There was a dose-response to ADR by TM677 in the presence of S9 using a forward mutation assay. However, while the reverse mutation assays successfully detected ADR and CP administration in the presence of each other in terms of urine mutagenicity, the forward mutation assay did not, since unidentified CP metabolites were also detected in the latter. None of these systems detected mutagenic urines from tobacco smokers, although reaction of these urines with beta-glucuronidase allowed this type of source to be detected also.",Is ADR mutagenic for TA98 or TA1535 strain?,False
22,"The genotoxicity and mutagenicity of 11 fungal metabolites structurally related to sterigmatocystin were examined in the hepatocyte primary culture/DNA-repair test and the Salmonella microsome assay. 10 out of the mycotoxins, i.e. dihydrosterigmatocystin, 5-methoxysterigmatocystin, 5-methoxydihydrosterigmatocystin, 5,6-dimethoxysterigmatocystin, 5,6-dimethoxydihydrosterigmatocystin, sterigmatin, O-methylsterigmatocystin and O-acetylsterigmatocystin showed a positive response for DNA repair, suggesting their carcinogenic potency. 5-Methoxysterigmatocystin, 5,6-dimethoxysterigmatocystin demethylsterigmatocystin and O-acetylsterigmatocystin were mutagenic in TA100 of the bacterial mutagenicity assay with liver S9.",Is 5-Methoxysterigmatocystin mutagenic for TA100 strain?,True
